id_usuario,id_universidad,id_grado_academico,titulo_profesional,especialidad,fecha_emision,resolucion,id_tipo_obtencion
5,1,3,"Magíster Scientiae en Economía, Mención: Proyectos de Inversión",-,2025-06-10,1713-2025-R-UNA,2
6,7,3,MAESTRO EN CIENCIAS CON MENCIÓN EN INGENIERÍA AMBIENTAL,-,2018-01-08,059-2018-CU-UJCM,2
6,1,1,BACHILLER EN CIENCIAS AGROINDUSTRIALES,-,2001-08-03,1133-2001-R-UNA,2
6,1,4,"Doctor en Ciencia, Tecnología y Medio Ambiente",-,2024-09-16,2558-2024-R-UNA,2
6,1,2,Ingeniero Agroindustrial,-,2004-01-30,148-2004-R-UNA,2
7,1,4,"DOCTORIS SCIENTIAE EN: CIENCIA, TECNOLOGIA Y MEDIO AMBIENTE",-,2016-10-21,3801-2016-R-UNA,2
7,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1979-04-04,-,2
7,1,2,INGENIERO AGRONOMO,-,1979-09-18,-,2
7,8,3,DIPLOMA DE MAESTRÍA EN CIENCIAS ,-,1994-12-28,1099-96-ANR,2
8,1,2,INGENIERO AGROINDUSTRIAL,-,2008-04-11,0802-2008-R-UNA,2
8,1,1,BACHILLER EN CIENCIAS AGROINDUSTRIALES,-,2006-11-24,2401-2006-R-UNA,2
8,9,3,GRADO ACADÉMICO DE MAGÍSTER EN INGENIERÍA,-,2017-07-20,RESOLUCIÓN DE RECONOCIMIENTO Nº 5814-2017-SUNEDU-02-15-02,2
8,9,4,GRADO ACADÉMICO DE DOCTOR EN CIENCIAS DE LA INGENIERÍA,-,2018-09-12,RESOLUCIÓN Nº 0964-2019-SUNEDU-02-15-02,2
9,2,3,MAGISTER EN SCIENTIAE,TECNOLOGIA DE ALIMENTOS,2006-02-10,166-UNALM,2
9,2,3,MAGISTER SCIENTIAE,ESPECIALIDAD: TECNOLOGIA DE ALIMENTOS,2006-02-10,166-UNALM/2006,2
9,2,2,INGENIERO EN INDUSTRIAS ALIMENTARIAS,-,1996-04-16,56115/UNALM,2
9,2,1,BACHILLER EN CIENCIAS INDUSTRIAS ALIMENTARIAS,-,1991-12-05,52281/UNALM,2
9,2,4,DOCTORIS PHILOSOPHIAE EN CIENCIA DE ALIMENTOS,-,2021-10-06,340-CU-UNALM,2
10,6,1,BACHILLER EN CIENCIAS,INGENIERIA INDUSTRIAL,1982-11-23,-,2
10,6,2,INGENIERO INDUSTRIAL,-,1989-09-13,-,2
10,10,4,DOCTOR EN CIENCIAS EMPRESARIALES,-,2018-08-03,O.G.Y.T. 017-2018,2
10,2,3,MAGISTER SCIENTIAE,AGRONEGOCIOS,2010-10-28,912-UNALM-2010,2
11,2,1,BACHILLER EN CIENCIAS,INDUSTRIAS ALIMENTARIAS,1988-12-07,499666/UNALM,2
11,2,2,INGENIERO EN INDUSTRIAS ALIMENTARIAS,-,1991-01-03,51657/UNALM,2
11,9,4,GRADO ACADÉMICO DE DOCTOR EN CIENCIAS DE LA INGENIERÍA,-,,0599-2012-ANR,2
11,11,3,GRADO ACADÉMICO DE MAGISTER EN INGENIERÍA AGRÍCOLA CON MENCIÓN EN AGROINDUSTRIA Y ESTRUCTURA RURALES,-,,1624-2006-ANR,2
12,1,2,INGENIERO AGRONOMO,-,1974-12-19,05/12/1974,2
12,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1974-10-21,-,2
12,1,3,MAGISTER SCIENTIAE EN DESARROLLO RURAL,-,2000-08-24,1080-2000-R-UNA,2
13,2,3,MAGISTER SCIENTIAE,NUTRICION,2004-11-16,729-UNALM,2
13,1,1,BACHILLER EN CIENCIAS AGROINDUSTRIALES,-,1995-02-17,209-95-R-UNA,2
13,1,2,INGENIERO AGROINDUSTRIAL,-,1999-10-29,1697-99-R-UNA,2
14,1,2,Ingeniero Agrónomo,-,1977-09-23,-,2
14,1,1,Bachiller en Ciencias Agrarias,-,1976-07-20,-,2
15,1,2,INGENIERO AGRONOMO,-,1980-05-08,-,2
15,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1980-01-15,-,2
15,1,3,MAGISTER SCIENTIAE EN AGRICULTURA ANDINA,-,2006-02-10,0222-2006-R-UNA,2
15,1,4,"DOCTORIS SCIENTIAE EN CIENCIA, TECNOLOGIA Y MEDIO AMBIENTE",-,2011-12-30,2688-2011-R-UNA,2
16,1,2,Ingeniero Agrónomo,-,1972-12-01,-,2
16,1,1,Bachiller en Ciencias Agrarias,-,1972-10-30,-,2
17,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1995-03-03,282-95-R-UNA,2
17,1,2,INGENIERO AGRONOMO,-,1995-07-21,957-95-R-UNA,2
17,13,4,"DOCTOR: CIENCIA, TECNOLOGIA Y MEDIO AMBIENTE",-,2013-10-29,11965-2013-R-UAP,2
17,14,4,"GRADO DE DOCTOR EN AGRONOMÍA, ESPECIALIDAD: SUELOS Y SISTEMAS INTEGRADOS DE PRODUCCIÓN AGRÍCOLA (GRADO DE DOCTOR)",-,2019-03-13,RESOLUCIÓN JEFATURAL 02915-2024-SUNEDU-DS-DIGRAT-URGT,2
17,9,3,GRADO ACADÉMICO DE MAGISTER EN PRODUCCIÓN ANIMAL,-,1998-10-05,086-2000-ANR,2
18,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1975-03-04,-,2
18,1,2,INGENIERO AGRONOMO,-,1975-08-07,-,2
18,2,3,MAGISTER SCIENTIAE - ENTOMOLOGÍA,-,1997-12-04,57517/UNA,2
19,1,2,INGENIERO AGRONOMO,-,1981-12-22,-,2
19,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1980-04-18,-,2
20,1,1,BACHILLER EN CIENCIAS AGROINDUSTRIALES,-,2001-08-17,1223-2001-R-UNA,2
20,1,2,INGENIERO AGRONOMO,-,2004-11-05,228-2004-P-CTG-UNA,2
20,2,3,MAGISTER SCIENTIAE,ESPECIALIDAD: PRODUCCION AGRICOLA,2007-12-11,830/UNALM,2
20,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,2001-08-17,1223-2001-R-UNA,2
20,2,4,DOCTORIS PHILOSOPHIAE EN AGRICULTURA SUSTENTABLE,-,2025-08-07,0309-2025-CU-UNALM,2
21,2,3,MAGISTER SCIENTIAE,ESPECIALIDAD: ECONOMIA AGRICOLA,1991-12-05,52283/UNALM,2
21,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1979-10-19,-,2
21,1,2,INGENIERO AGRONOMO,-,1980-07-11,-,2
21,1,4,"Doctoris Scientiae en Ciencia, Tecnología y Medio Ambiente",-,2020-09-29,0971-2020-R-UNA,2
22,2,3,MAGISTER SCIENTIAE - SUELOS,-,1993-11-22,53949,2
22,1,2,INGENIERO AGRONOMO,-,1978-06-23,-,2
22,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1976-12-29,-,2
22,2,3,MAGISTER SCIENTIAE,ESPECIALIDAD: SUELOS,1993-11-22,53949,2
22,1,4,"Doctoris Scientiae en Ciencia, Tecnología y Medio Ambiente",-,2025-01-31,0164-2025-R-UNA,2
23,2,3,MAGISTER SCIENTIAE ESPECIALIDAD EN,SUELOS,1987-05-07,-,2
23,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1977-09-23,-,2
23,1,2,INGENIERO AGRONOMO,-,1979-01-30,-,2
23,2,3,MAGISTER SCIENTIAE - SUELOS,-,1994-10-25,48525,2
24,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1975-03-04,-,2
24,1,2,INGENIERO AGRONOMO,-,1975-06-23,-,2
24,15,4,GRADO DE DOCTOR EN CIENCIAS EN ECONOMÍA AGRÍCOLA,-,1991-10-03,020-96-ANR,2
24,16,3,"CERTIFICAR PROVISIONALMENTE, PARA LOS EFECTOS DEL ARTÍCULO 4º DEL DECRETO SUPREMO Nº 001-79-ED, EL GRADO DE MAGÍSTER EN CIENCIAS.",-,1978-04-10,7721-79-CONUP,2
25,17,2,TITULO DE INGENIERO AGRONOMO,-,1976-01-02,R-230-75,2
25,2,3,MAGISTER SCIENTIAE EN PRODUCCIÓN ANIMAL,-,1993-02-16,53342,2
25,17,2,INGENIERO AGRONOMO,-,1976-01-02,R-230-75,2
25,17,1,BACHILLER EN CIENCIAS AGRARIAS,-,1976-01-02,R-21-75,2
26,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1988-12-21,1228-88-R-UNA,2
26,1,2,INGENIERO AGRONOMO,-,1989-08-11,726-89-R-UNA,2
26,1,3,MAGISTER SCIENTIAE EN CULTIVOS ANDINIOS,-,1997-10-17,1455-97-R-UNA,2
26,1,4,"DOCTORIS SCIENTIAE EN CIENCIA, TECNOLOGIA Y MEDIO AMBIENTE",-,2014-01-16,0119-2014-R-UNA,2
26,18,4,DOCTOR EN ADMINISTRACION,-,2008-10-27,7713,2
27,19,2,CONTADOR PUBLICO,-,2008-07-18,136-08-CU-R-UANCV,2
27,19,1,BACHILLER EN CIENCIAS CONTABLES,-,2005-09-16,RES-172-05-CU-R-U,2
27,1,3,MAGISTER SCIENTIAE EN DESARROLLO RURAL,-,2001-12-14,1936-2001-R-UNA,2
27,1,1,Bachiller En Ciencias Agrarias,-,1979-12-19,-,2
28,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1981-12-11,-,2
28,1,2,INGENIERO AGRONOMO,-,1983-01-28,-,2
28,2,3,MAGISTER SCIENTIAE,INGENIERIA AGRICOLA,1993-08-26,53812/UNALM,2
28,1,4,"Doctoris Scientiae en Ciencia, Tecnología y Medio Ambiente",-,2021-04-09,0603-2021-R-UNA,2
29,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1972-08-25,-,2
29,1,2,INGENIERO AGRONOMO,-,1973-02-14,-,2
30,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1972-10-26,-,2
30,1,2,INGENIERO AGRONOMO,-,1974-04-02,-,2
31,1,3,MAGISTER SCIENTIAE EN: CULTIVOS ANDINOS,-,2004-01-30,195-2004-R-INA,2
31,1,3,MAGISTER EN SCIENTIAE EN CULTIVOS ANDINOS,-,2004-01-30,195-2004-R-UNA,2
31,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1981-07-03,-,2
31,1,2,INGENIERO AGRONOMO,-,1981-10-02,-,2
31,1,2,SCIENTIAE EN CULTIVOS ANDINOS,-,2004-01-30,195-2004-R-UNA,2
32,1,2,Ingeniero Agrónomo,-,1973-02-14,-,2
32,1,1,Bachiller en Ciencias Agrarias,-,1973-02-09,-,2
33,1,2,INGENIERO AGRONOMO,-,1981-04-10,-,2
33,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1980-01-15,-,2
33,1,4,"DOCTORIS SCIENTIAE EN CIENCIA, TECNOLOGIA Y MEDIO AMBIENTE",-,2014-01-16,0119-2014-R-UNA,2
33,2,3,MAGISTER SCIENTIAEMAGÍSTER SCIENTIAE  ESPECIALIDAD: SUELOS,-,1996-08-23,56521/UNALM,2
34,1,3,MAGISTER SCIENTIAE EN PRODUCCION ANIMAL,-,2009-10-30,1613-2009-R-UNA,2
34,1,2,INGENIERO AGRONOMO,-,2001-01-26,0058-2001-R-UNA,2
34,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1999-07-23,1239-99-R-UNA,2
34,1,4,"DOCTORIS SCIENTIAE EN: CIENCIA, TECNOLOGIA Y MEDIO AMBIENTE",-,2016-11-30,4634-2016-R-UNA,2
35,1,3,MAGISTER SCIENTIAE EN DESARROLLO RURAL,-,1995-09-15,1284-95-R-UNA,2
35,10,4,DOCTOR EN CIENCIAS Y TECNOLOGÍAS MEDIOAMBIENTALES,-,2020-03-20,O.G.Y.T. 004-2020,2
35,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1980-04-18,-,2
35,1,2,Ingeniero Agrónomo,-,1981-12-11,-,2
36,1,2,Ingeniero Agrónomo,-,1978-09-29,-,2
36,1,1,Bachiller en Ciencias Agrarias,-,1978-08-09,-,2
37,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1988-12-21,-,2
37,1,2,INGENIERO AGRONOMO,-,1990-06-22,669-90-R-UNA,2
38,17,2,INGENIERO AGRONOMO,-,1971-07-12,R-536-71,2
38,17,1,BACHILLER EN CIENCIAS AGRARIAS,-,,0500-71,2
38,17,2,INGENIERO AGRONOMO,-,,0536-71,2
38,17,1,BACHILLER EN CIENCIAS AGRARIAS,-,1971-05-31,R-500-71,2
38,17,2,INGENIERO AGRONOMO,-,1971-07-12,R-536-71,2
38,20,4,GRADO DE DOCTOR EN CIENCIAS,-,1989-02-22,1456-2005-ANR,2
39,1,2,INGENIERO AGRONOMO,-,1982-12-10,-,2
39,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1982-01-29,-,2
39,18,3,MAESTRO EN GESTION AMBIENTAL,-,2012-09-04,2019,2
40,1,4,"DOCTORIS SCIENTIAE EN: CIENCIA, TECNOLOGIA Y MEDIO AMBIENTE",-,2015-07-01,1947-2015-R-UNA,2
40,1,2,INGENIERO AGRONOMO,-,1979-12-19,-,2
40,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1979-05-18,-,2
40,21,3,GRADO DE MAESTRO EN CIENCIAS - MAGISTER SCIENTARUM - MENCIÓN ECOLOGÍA Y CONVERSACIÓN,-,2001-08-28,080-2007-ANR,2
41,1,2,INGENIERO AGRONOMO,-,1999-09-03,1365-99-R-UNA,2
41,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1996-08-23,1192-96-R-UNA,2
41,1,3,Magíster Scientiae en: Gestión de Recursos Naturales y Medio Ambiente,-,2016-05-10,1383-2016-R-UNA,2
41,1,4,"Doctor en Ciencia, Tecnología y Medio Ambiente",-,2024-01-25,0203-2024-R-UNA,2
42,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1967-12-16,-,2
42,1,2,INGENIERO AGRONOMO,-,1968-05-21,-,2
43,1,2,Ingeniero Agrónomo,-,1977-01-07,-,2
43,1,1,Bachiller en Ciencias Agrarias,-,1976-12-21,-,2
43,1,3,Magíster Scientiae en Gestión y Auditoría Ambiental,-,2024-09-16,2561-2024-R-UNA,2
44,1,2,INGENIERO AGRONOMO,-,1980-04-15,-,2
44,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1979-12-03,-,2
44,8,3,DIPLOMA DE MAGÍSTER EN CIENCIAS,-,1993-11-30,2203-2014-ANR,2
45,2,3,MAGISTER SCIENTIAE,ESPECIALIDAD: MEJORAMIENTO GENETICO DE PLANTAS,1986-09-30,47867/UNALM,2
45,1,2,INGENIERO AGRONOMO,-,1973-07-11,-,2
45,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1973-02-01,-,2
45,1,4,DOCTORIS SCIENTIAE,"EN: CIENCIA, TECNOLOGIA Y MEDIO AMBIENTE",2013-07-10,2018-2013-R-UNA,2
46,1,3,MAGISTER SCIENTIAE EN AGRICULTURA ANDINA,ESPECIALIDAD: AGROECOLOGIA,2000-09-22,1389-2000-R-UNA,2
46,1,2,INGENIERO AGRONOMO,-,1971-03-12,-,2
46,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1970-11-20,-,2
46,1,4,"DOCTORIS SCIENTIAE EN CIENCIA, TECNOLOGIA Y MEDIO AMBIENTE",-,2013-07-10,2018-2013-R-UNA,2
47,13,1,BACHILLER EN INGENIERIA CIVIL,-,2011-08-31,8588-2011-R-UAP,2
47,1,1,BACHILLER EN CIENCIAS DE LA INGENIERIA TOPOGRAFICA Y AGRIMENSURA,-,2001-01-26,0100-2001-R-UNA,2
47,1,2,INGENIERO TOPOGRAFO Y AGRIMENSOR,-,2001-08-03,1132-2001-R-UNA,2
47,13,2,INGENIERO CIVIL,-,2012-11-08,10229-2012-R-UAP,2
47,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1991-08-02,830-91-R-UNA,2
48,1,2,INGENIERO TOPOGRAFO Y AGRIMENSOR,-,2003-12-31,2342-2003-R-UNA,2
48,7,1,BACHILLER EN INGENIERIA CIVIL,-,2014-06-10,644-2014-CU-UJCM,2
48,19,3,MAGISTER EN: INGENIERIA CIVIL,MENCION EN: DISEÑO Y CONSTRUCCIONES,2013-12-13,388-13-CU-R-UANV.,2
48,7,2,INGENIERO CIVIL,-,2014-09-18,1202-2014-CU-UJCM,2
48,1,1,BACHILLER EN CIENCIAS DE LA INGENIERIA TOPOGRAFICA Y AGRIMENSURA,-,1999-12-03,1927-99-R-UNA,2
48,1,4,"Doctor en Ciencia, Tecnología y Medio Ambiente",-,2022-06-28,1317-2022-R-UNA,2
48,1,1,BACHILLER EN CIENCIAS DE LA INGENIERIA TOPOGRAFICA Y AGRIMENSOR,-,1999-12-03,1927-99-R-UNA,2
48,1,1,BACHILLER EN CS. DE LA ING.TOPOGRAFICA Y AGRIM.,-,1999-12-03,1927-99-R-UNA,2
49,1,2,INGENIERO AGRONOMO,-,1979-05-23,-,2
49,1,4,"Doctoris Scientiae en Ciencia, Tecnología y Medio Ambiente",-,2019-12-04,3183-2019-R-UNA,2
49,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1976-01-09,-,2
49,1,3,Magíster Scientiae en Ingeniería de Recursos de Agua y Suelo,-,2017-11-09,3612-2017-R-UNA,2
50,1,2,INGENIERO TOPOGRAFO AGRIMENSOR,-,2005-04-01,1129-2005-P-CTG-UNA,2
50,1,2,INGENIERO TOPOGRAFO Y AGRIMENSOR,-,2005-01-04,1129-2005-P-CTG-UN,2
50,1,1,BACHILLER EN CIENCIAS DE LA INGENIERIA TOPOGRAFICA Y AGRIMENSURA,-,2004-11-05,235-2004-B-CTG-UNA,2
51,1,3,MAGISTER SCIENTIAE EN AGROECOLOGIA,-,2010-10-15,2204-2010-R-UNA,2
51,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1973-10-15,-,2
51,1,2,INGENIERO AGRONOMO,-,1976-09-22,-,2
52,1,2,ING. TOPOGRAFO Y AGRIMENSOR,-,2002-01-18,0073-2002-R-UNA,2
52,1,1,BACHILLER EN CIENCIAS DE LA INGENIERIA TOPOGRAFICA Y AGRIMENSURA,-,1998-12-04,2175-98-R-UNA,2
52,1,2,INGENIERO TOPOGRAFO Y AGRIMENSOR,-,2002-01-18,0073-2002-R-UNA,2
52,13,1,BACHILLER EN INGENIERIA CIVIL,-,2011-09-30,8730-2011-R-UAP,2
52,1,3,Magíster Scientiae en Ordenamiento Territorial y Medio Ambiente,-,2023-11-30,3149-2023-R-UNA,2
53,1,2,INGENIERO AGRONOMO,-,1995-12-29,1934-95-R-UNA,2
53,1,3,MAGISTER SCIENTIAE EN ORDENAMIENTO TERRITORIAL Y MEDIO AMBIENTE,-,2011-09-02,1750-2011-R-UNA,2
53,13,2,INGENIERO CIVIL,-,2005-07-26,3178-2005-R-UAP,2
53,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1975-03-04,-,2
53,19,1,BACHILLER EN INGENIERIA CIVIL,-,2002-04-10,256-2002-CU-R-UANCV,2
53,1,4,"Doctoris Scientiae en Ciencia, Tecnología y Medio Ambiente",-,2024-12-20,3643-2024-R-UNA,2
54,1,3,MAGISTER SCIENTIAE EN: ORDENAMIENTO TERRITORIAL Y MEDIO AMBIENTE,-,2011-09-16,1936-2011-R-UNA,2
54,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1976-12-07,-,2
54,1,2,TOPOGRAFO Y AGRIMENSOR,-,1982-08-09,-,2
54,1,2,INGENIERO AGRONOMO,-,1977-04-07,-,2
54,1,4,"Doctoris Scientiae en Ciencia, Tecnología y Medio Ambiente",-,2023-11-10,2958-2023-R-UNA,2
55,7,1,BACHILLER EN INGENIERIA CIVIL,-,2010-05-28,245-2010-CU-UJCM,2
55,1,2,INGENIERO TOPOGRAFO Y AGRIMENSOR,-,2001-01-26,0058-2001-R-UNA,2
55,1,1,BACHILLER EN CIENCIAS DE LA INGENIERIA TOPOGRAFICA Y AGRIMENSURA,-,1999-04-16,0598-99-R-UNA,2
55,1,3,MAGISTER SCIENTIAE EN: ORDENAMIENTO TERRITORIAL Y MEDIO AMBIENTE,-,2015-01-30,0245-2015-R-UNA,2
55,1,4,"Doctoris Scientiae en: Ciencia, Tecnología y Medio Ambiente",-,2017-04-26,1266-2017-R-UNA,2
55,7,2,INGENIERO CIVIL,-,2013-05-24,649-2013-CU-UJCM,2
56,1,2,TOPOGRAFO AGRIMENSOR,-,1981-05-29,-,2
56,1,2,INGENIERO AGRONOMO,-,1982-07-16,-,2
56,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1980-12-05,-,2
56,1,3,MAGISTER SCIENTIAE EN ORDENAMIENTO TERRITORIAL Y MEDIO AMBIENTE,-,2009-07-03,0999-2009-R-UNA,2
57,13,1,BACHILLER EN INGENIERIA CIVIL,-,2011-08-19,8555-2011-R-UAP,2
57,1,2,INGENIERO TOPOGRAFO Y AGRIMENSOR,-,2006-09-29,2002-2006-R-UNA,2
57,1,1,BACHILLER EN CIENCIAS DE LA INGENIERIA TOPOGRAFICA Y AGRIMENSURA,-,2004-11-05,235-2004-P-CTG-UNA,2
57,13,2,INGENIERO CIVIL,-,2012-03-02,9214-2012-R-UAP,2
57,10,3,MAESTRO EN CIENCIAS CON MENCIÓN EN PLANIFICACIÓN EN ORDENAMIENTO TERRITORIAL Y DESARROLLO URBANO,-,2025-06-13,U.G.T. N° 008-2025,2
58,7,1,BACHILLER EN INGENIERIA CIVIL,-,2009-09-07,869-2009-CU-UJCM,2
58,1,2,INGENERIO TOPOGRAFO Y AGRIMENSOR,-,2004-01-16,0071-2004-R-UNA,2
58,7,2,INGENIERO CIVIL,-,2015-01-28,140-2015-CU-UJCM,2
58,1,1,Bachiller en Ciencias de la Ingeniería Topográfica y Agrimensura,-,1998-12-04,2175-98-R-UNA,2
58,19,3,"MAGISTER EN INGENIERÍA CIVIL, MENCIÓN: DISEÑO Y CONSTRUCCIONES",-,2024-05-20,0156-2024-UANCV-CU-R,2
59,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1973-02-14,-,2
59,1,3,MAGISTER SCIENTIAE EN INFORMATICA,-,2007-05-04,0749-2007-R-UNA,2
59,13,2,INGENIERO CIVIL,-,2005-07-26,3160-2005-R-UAP,2
59,19,1,BACHILLER EN INGENIERIA CIVIL,-,2004-05-28,069-04-CU-R,2
59,2,3,MAGISTER SCIENTIAE,-,1984-11-08,44745,2
59,1,2,INGENIERO AGRONOMO,-,1973-07-11,-,2
61,1,3,MAGISTER SCIENTIAE EN SALUD ANIMAL,-,2013-05-15,1514-2013-R-UNA,2
61,1,1,BACHILLER EN MEDICINA VETERINARIA Y ZOOTECNIA,-,1977-01-18,-,2
61,1,2,MEDICO VETERINARIO Y ZOOTECNISTA,-,1977-03-18,-,2
62,1,2,Médico Veterinario y Zootecnista,-,1974-08-15,-,2
62,1,1,Bachiller en Medicina Veterinaria y Zootecnia,-,1974-08-15,-,2
63,1,1,BACHILLER EN MEDICINA VETERINARIA Y ZOOTECNIA,-,1974-08-02,-,2
63,1,2,MEDICO VETERINARIO Y ZOOTECNISTA,-,1975-05-16,-,2
63,2,3,MAGISTER SCIENTIAE,ESPECIALIDAD: PRODUCCION ANIMAL,1990-02-14,50941/UNALM,2
63,1,4,"DOCTORIS SCIENTIAE EN CIENCIA, TECNOLOGIA Y MEDIO AMBIENTE",-,2012-09-14,2049-2012-R-UNA,2
64,1,1,BACHILLER EN MEDICINA VETERINARIA Y ZOOTECNIA,-,1976-05-17,-,2
64,1,2,Médico Veterinario y Zootecnista,-,1976-07-16,-,2
64,19,2,ABOGADO,-,1999-07-02,137-99-CU-R-UANCV,2
64,19,1,BACHILLER EN DERECHO,-,1999-01-08,RES-001-1999-CU-R-UANCV,2
64,22,3,MAGISTER EN FISIOLOGIA,-,1992-02-18,105312,2
64,19,4,DOCTOR EN SALUD PÚBLICA,-,2021-10-25,0526-2021-UANCV-CU-R,2
65,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1971-07-14,-,2
65,1,2,Ingeniero Agrónomo,-,1971-11-09,-,2
66,1,3,Maestro en Ciencia Animal con Mención en Salud Animal,-,2018-11-30,3099-2018-R-UNA,2
66,1,2,Médico Veterinario y Zootecnista,-,1975-10-17,-,2
66,1,1,Bachiller en Medicina Veterinaria y Zootecnia,-,1975-10-14,-,2
67,1,2,Médico Veterinario y Zootecnista,-,1979-09-05,-,2
67,1,1,Bachiller en Medicina Veterinaria y Zootecnia,-,1979-01-17,-,2
68,23,4,DOCTORA EN GOBIERNO Y POLITICA PUBLICA,-,2014-02-07,135-2014-CU-R-USMP,2
68,1,1,BACHILLER EN MEDICINA VETERINARIA Y ZOOTECNIA,-,1977-04-12,-,2
68,1,2,MEDICO VETERINARIO Y ZOOTECNISTA,-,1978-03-12,-,2
69,1,1,BACHILLER EN MEDICINA VETERINARIA Y ZOOTECNIA,-,1980-04-18,-,2
69,1,2,MEDICO VETERINARIO Y ZOOTECNISTA,-,1980-04-21,-,2
69,1,3,MAGISTER SCIENTIAE EN SALUD PUBLICA,MENCION EPIDEMIOLOGIA,2010-02-19,0286-2010-R-UNA,2
70,1,1,BACHILLER EN MEDICINA VETERINARIA Y ZOOTECNIA,-,1979-06-06,-,2
70,1,2,MEDICO VETERINARIO Y ZOOTECNISTA,-,1979-10-19,-,2
71,10,4,DOCTOR EN CIENCIAS: SALUD PUBLICA,-,2011-02-18,RCU 066-2011,2
71,1,1,BACHILLER EN MEDICINA VETERINARIA Y ZOOTECNIA,-,1978-02-03,-,2
71,1,2,MEDICO VETERINARIO Y ZOOTECNISTA,-,1979-05-18,-,2
71,1,3,MAGISTER SCIENTIAE EN GANADERIA ANDINA,-,1993-06-04,-,2
